Sl. No,UdiseCode,SchName,School Management,School Category ,District Name,Block Name,Cluster Name,Village Name,SchLocation,Schtype,"Building Status (1-Private Owned, 2-Rented, 3-Government Owned, 4-Government School in a Rent free building, 5-NO
Building (Running in Open Place), 6-School Running in other Department Building)",Total Number of Building Blocks of the School,"Type of Boundary Wall (1-Pucca, 2-Pucca but broken, 3-Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial,
8-Under Construction)",Dilapidated Building,Total Classrooms in Dilapidated Condition,Halls Avaible,Medical Facilities (Medical Rooms) Available,Store Room Available,"Minority managed school (1-Yes, 2-No)","Boundary wall type (1-Pucca, 2-Pucca but broken, 3- Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial, 8-Under Construction)","Fire extinguisher available (1-Yes, 2-No)","Whether receiving free uniform (1-Yes, 2-No)","Whether receiving free Textbook for primary (1-Yes, 2-No)","Whether receiving free Textbook for upper Primary (1-Yes, 2-No)",Girls Activity Room Available ,Electricity connection Available,Ramp Available,"If yes, specify Ramp with Handrail or without Handrail",Sport Equiptment,Separate Room for Head Teacher/Principal Available,Staffroom For Teacher,Staff Quarters (Including Residential Quarters for Head Teacher/Principal and Asst. Head Teacher/Vice Principal),Total no of Class Rooms use for Instructional Purpose ,No. of classroom under construction,No. of Pucca classroom for in good condition,No. of Pucca classroom in  for major repair,No. of Pucca classroom in  for minor repair,No. of Partially Pucca classroom for  in good condition,No. of Partially Pucca classroom for  for minor repair,No. of Partially Pucca classroom for  for major repair,No. of Kuccha classroom for  in good condition,No. of Kuccha classroom for  for minor repairing,No. of Kuccha classroom for  for major repairing,Tent,Land is Available for Expansion of School Facilities,Boy toilet available,No of toilet for Boys,No of  Functional toilet for Boys,No of CWSN(Toilet)  for Boys,No of Functional CWSN (Toilet) for Boys,Girls toilet available,No of toilet for Girls,No of Functional toilet for Girls,No of CWSN(Toilet)  for Girls,No of Functional CWSN (Toilet) for Girls,Handwash facility,Hand washing Facility near Toilet,Hand washing Facility after Meals,Drinking Water Availability,Drinking Water Functional,Are there any rainwater harvesting structures implemented within the school campus? ,Has the school availed facilities provided under the Jal Jeevan Mission (JJM)?,Solar Panel ,Is your school equipped with Solar Panel for energy generation?,"         If Yes, specify whether they are  functional or not functional","Whether your school having Sanitary Pad vending Machine - For schools having Secondary and Higher Secondary Sections (1- Yes, 2- No, 3- Yes, but not functional, 4- NO, Pads available with Class Teachers, 9 Not Applicable)",Whether your school  having functional incinerator in girls toilets - For schools having Secondary and Higher Secondary Sections,Library Facility,Does the school have a designated Library room?,Does the School have book bank facility,"If yes, No of books are available",No of Librarians,No of Computers Available in the Library Room,Reading Corner Available,Power Backup Available ,Furniture Available,Playground Available,Separate Common Room For Girls ,Co-Curricular Activity Room/Arts And Crafts Room ,Integrated Science Laboratory for Secondary Details ,No of Room Available,Maths Lab for Secondary Details ,No of Room Available ,Physics Laboratory for Higher Secondary ,No of Room Available ,Chemistry Laboratory for Higher Secondary ,No of Room Available ,Biology Laboratory  for Higher Secondary,No of Room Available ,Library Room,No of Books avaialble,Computer Room ,No of computer ,Tinkering Lab,"Internet Facility available in school (1-Yes, 2-No)","Smart classroom available in school (1-Yes, 2-No)",No of Smart classroom,ICT Lab Available,ICTLab Functional, Total Number of Desktops/Laptops ,Total Number of functional desktops,Total Number of functional Laptops,Total Number of functional Tablets,Total Number of functional digital boards,Total Number of functional projectors,Hostel Facilities for Boys,Does the school have hostel facilities for Boys?,Intake capacity,No of students are currently residing in the hostel,Hostel Facilities for Girls,Does the school have hostel facilities for Girls?,Intake capacity,No of students are currently residing in the hostel
7670,17040242803,COG UPS,Government Aided,4 - Upper Primary only,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.3,Urban,Co-ed,1,1,7,0,0,,,,2,7,1,Yes,N/A,Yes,No,Yes,No,Not applicable,Yes,Yes,Yes,No,3,0,0,0,3,0,0,0,0,0,0,0,No,No,0,0,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,Yes,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7671,17040242808,DOMKHARU NONGRIM LPS,Government Aided,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.3,Urban,Co-ed,1,2,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,6,0,0,0,0,4,2,0,0,0,0,0,Yes,Yes,1,1,0,0,No,0,0,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7672,17040242809,COG LPS UPPER NEW NONGSTOIN,Government Aided,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.3,Urban,Co-ed,1,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,"Yes, but not functional",No,Not applicable,No,Yes,Yes,No,7,0,7,0,0,0,0,0,0,0,0,0,No,Yes,2,2,0,0,Yes,2,2,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,5,Not Applicable,2,2,0,Yes,Not Applicable,5,0,0,0,0,0,,No,,0,,No,,0
7673,17040242812,KJP SYNOD SEPNGI UPS,Government Aided,4 - Upper Primary only,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.3,Urban,Co-ed,1,1,5,0,0,,,,1,5,2,Yes,N/A,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,3,0,1,0,2,0,0,0,0,0,0,0,Yes,Yes,1,1,1,1,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,Yes,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7674,17040242814,CHRIST DICIPLES GIRL SEC. SCHOOL,Private Unaided,8 - Secondary Only,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.3,Urban,Girls only,1,1,5,0,0,,,,2,5,1,No,N/A,N/A,No,"Yes, but not functional",No,Not applicable,No,Yes,Yes,No,4,0,4,0,0,0,0,0,0,0,0,0,No,No,0,0,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,Yes,No,0,,,No,,Yes for all,No,No,No,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7675,17040242817,CHURCH OF GOD SECONDARY SCHOOL,Government Aided,8 - Secondary Only,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.3,Urban,Co-ed,1,1,7,0,0,,,,2,7,1,Yes,N/A,N/A,No,Yes,No,Not applicable,Yes,Yes,Yes,No,2,0,0,0,2,0,0,0,0,0,0,0,No,No,0,0,0,0,No,0,0,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,Yes,Yes,No,0,,,No,,Yes for all,No,No,No,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,50,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7676,17040242819,KJP SYNOD SEPNGI SECONDARY SCHOOL,Government Aided,8 - Secondary Only,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.3,Urban,Co-ed,1,1,5,0,0,,,,1,5,1,No,N/A,N/A,No,Yes,Yes,Yes,No,Yes,Yes,No,2,0,2,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,1,1,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,Yes,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7677,17040242821,ANDERSON HIGHER SECONDARY SCHOOL,Private Unaided,11 - Higher Secondary only/Jr. College,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.3,Urban,Co-ed,1,1,1,0,0,,,,2,1,1,No,N/A,N/A,Yes,Yes,Yes,No,No,Yes,Yes,Yes,11,0,11,0,0,0,0,0,0,0,0,0,Yes,Yes,7,7,0,0,Yes,13,13,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,Yes,Yes,Yes,320,,,No,,Yes for all,Yes,Yes,Yes,Not Applicable,,Yes,,Yes,,Yes,,Yes,,Yes,7306,Yes,54,No,1,1,1,Yes,Not Applicable,52,0,2,0,0,0,,No,,0,,No,,0
7678,17040243201,EVANGEL UPS,Government Aided,4 - Upper Primary only,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.6,Urban,Co-ed,1,1,5,0,0,,,,2,5,2,Yes,N/A,Yes,No,No,No,Not applicable,Yes,No,No,No,3,0,3,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,No,0,0,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,Yes,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7679,17040243202,NONGSTOIN GOVT  LPS,Government,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.6,Urban,Co-ed,4,4,1,0,0,,,,2,1,1,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,No,Yes,Yes,8,0,6,0,2,0,0,0,0,0,0,0,No,Yes,2,2,0,0,Yes,2,2,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,40,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7680,17040244005,LAWSE URPYLLENG FC LPS,Government Aided,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.7,Urban,Co-ed,1,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,7,0,5,0,2,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,No,Yes,Yes,No,,Yes,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7681,17040244006,LUMKARMEL RCLP,Government,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.7,Urban,Co-ed,3,1,1,0,0,,,,2,1,1,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,2,0,1,0,1,0,0,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,2,2,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7682,17040244009,FELLOWSHIP UPS GIRL LAWSE,Government,4 - Upper Primary only,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.7,Urban,Co-ed,3,1,5,0,0,,,,2,5,2,Yes,N/A,Yes,No,"Yes, but not functional",Yes,No,No,No,Yes,No,3,0,0,0,3,0,0,0,0,0,0,0,Yes,Yes,2,2,1,1,Yes,2,2,1,1,No,No,No,Yes,Yes,Yes but not functional,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7683,17040244010,LUMKARMEL UPS,Government Aided,4 - Upper Primary only,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.7,Urban,Co-ed,1,1,5,0,0,,,,2,5,1,No,N/A,Yes,No,No,No,Not applicable,No,No,Yes,No,3,0,0,0,0,0,3,0,0,0,0,0,Yes,No,0,0,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7684,17040244011,FELLOWSHIP SECONDARY SCHOOL,Private Unaided,8 - Secondary Only,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.7,Urban,Co-ed,1,1,5,0,0,,,,2,5,2,No,N/A,N/A,No,No,No,Not applicable,No,No,No,No,2,0,0,0,0,0,0,2,0,0,0,0,Yes,No,0,0,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,3,0,No,No,No,0,,,No,,Partial,No,No,No,No,,Not Applicable,,No,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7685,17040245001,MAWROK PORSOHSAT GOVT LPS,Government,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.9,Urban,Co-ed,4,1,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,Yes,Yes,No,No,Yes,No,1,0,0,0,0,0,0,1,0,0,0,0,Yes,Yes,1,1,0,0,No,0,0,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7686,17040245004,HOPE MINISTRY LPS,Private Unaided,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.9,Urban,Co-ed,1,6,5,0,0,,,,2,5,2,No,No,N/A,No,No,No,Not applicable,No,No,Yes,No,6,0,2,0,4,0,0,0,0,0,0,0,No,Yes,1,1,1,1,Yes,1,1,1,1,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7687,17040245102,PORMAWLEIN RCLPS,Government Aided,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,UPPER NEW NONGSTOIN CRC-1707010006,Nongstoin (TC) - Ward No.4,Urban,Co-ed,1,1,5,0,0,,,,1,5,1,No,No,N/A,No,No,No,Not applicable,No,No,Yes,No,2,0,0,0,0,2,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7688,17040245702,TALIMARA UPS,Government,4 - Upper Primary only,WEST KHASI HILLS-1704,NONGSTOIN-170402,KYRSHAI CRC-1707010006,Talimara,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,No,Yes,Yes,Yes,No,No,No,4,0,0,0,0,0,4,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7689,17040245801,UMKHAMDOR LPS,Government,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,KYRSHAI CRC-1707010006,Umkhamdor,Rural,Co-ed,3,1,1,0,0,,,,2,1,2,Yes,Yes,N/A,No,No,Yes,Yes,Yes,Yes,Yes,No,5,0,5,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,Yes,,Partial,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7690,17040246301,MAWLONG PRES LPS,Private Unaided,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,MAWTHIR CRC-1707010006,Mawthir,Rural,Co-ed,1,1,5,0,0,,,,2,5,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,3,0,0,0,0,0,3,0,0,0,0,0,No,No,0,0,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7691,17040246601,POHLONG LP SCHOOL,Government,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,NONGSBA CRC-1707010006,Nongpohlong,Rural,Co-ed,2,1,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,3,0,0,0,0,0,1,2,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,Yes,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7692,17040247601,BANSING MEMO PYNDENSOHPHOH LPS,Private Unaided,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,BYRKI CRC-1707010006,Marshannamlang,Rural,Co-ed,1,1,5,0,0,,,,2,5,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,5,0,0,0,0,0,0,0,1,4,0,0,No,No,0,0,0,0,No,0,0,0,0,No,No,No,Yes,Yes,No,,No,,,4,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7693,17040247801,MAWLANGNIANG PRES LPS,Government Aided,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,MYNDO UMKYLLAIN CRC-1707010006,Mawlangniang,Rural,Co-ed,1,1,5,0,0,,,,2,5,1,No,Yes,N/A,No,No,No,Not applicable,No,No,No,No,1,0,1,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7694,17040248001,MAWPUN LPS,Government,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,KYRSHAI CRC-1707010006,Mawpon,Rural,Co-ed,3,3,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,3,0,3,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,Yes,,No,,,2,0,No,No,No,0,,,Yes,, No Furniture available,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7695,17040248101,MAWPAYIER PATHARPHLANG LPS,Government,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,KYRSHAI CRC-1707010006,Mawpayier,Rural,Co-ed,3,1,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,Yes,No,No,No,No,No,2,0,2,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7696,17040248201,NONGKYLLANG RCLPS,Government,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,MAWTHIR CRC-1707010006,Nongpliang,Rural,Co-ed,3,1,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,3,0,0,0,0,1,2,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,25,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7697,17040248401,MAWROK RAMBRAI RCLPS,Government,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,RAMBRAI CRC-1707010006,Mawrok,Rural,Co-ed,3,1,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,2,0,2,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,1,Functional,No,No,Yes,50,,,Yes,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7698,17040248601,UMSAW PRES LPS,Government Aided,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,MAWLIEHBAH CRC-1707010006,Umsaw,Rural,Co-ed,1,1,5,0,0,,,,2,5,1,No,Yes,N/A,No,No,No,Not applicable,No,No,No,No,4,0,0,0,0,0,4,0,0,0,0,0,Yes,No,0,0,0,0,No,0,0,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7699,17040248901,NANGSHARAI LP SCHOOL,Private Unaided,1 - Primary,WEST KHASI HILLS-1704,NONGSTOIN-170402,MAWLANGKHAR CRC-1707010006,Mawdet,Rural,Co-ed,1,1,2,0,0,,,,2,2,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,3,0,0,0,0,3,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,3,0,No,No,No,0,,,No,, No Furniture available,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7700,17040300101,PYNDENG NONGBRI GOVT. L.P.S,Government,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Pyndengnongbri,Rural,Co-ed,4,1,1,0,0,,,,2,1,1,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,6,0,5,1,0,0,0,0,0,0,0,0,Yes,No,0,0,2,2,No,0,0,2,2,Yes,Yes,Yes,Yes,Yes,No,,Yes but not functional,,,2,0,Yes,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,50,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,Yes,,0,,Yes,,0
7701,17040300102,PYNDENGNONGBRI UPS,Government,4 - Upper Primary only,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Pyndengnongbri,Rural,Co-ed,4,1,1,0,0,,,,2,1,1,Yes,N/A,Yes,No,No,Yes,Yes,No,No,No,No,3,0,0,0,0,0,3,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,3,Not Applicable,2,2,0,No,Not Applicable,3,0,0,0,0,0,,No,,0,,No,,0
7702,17040300301,MANAI U.P.S,Government Aided,4 - Upper Primary only,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Manai Incl Mawpun,Rural,Co-ed,1,1,1,0,0,,,,2,1,1,No,N/A,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,4,0,4,0,0,0,0,0,0,0,0,0,Yes,Yes,3,3,0,0,Yes,3,3,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
